Overall#,Team,Player,Seasons,GP,G,A,TP,PIM,Draft Year,link,playername,position,is_fwd,is_def,is_goalie
134,Toronto Maple Leafs,Juraj Mikus (D),,,,,,,2007,https://www.eliteprospects.com/player/12533/juraj-mikus,Juraj Mikus ,D,0,1,0
135,Colorado Avalanche,Paul Carey (F),7,100,8,8,16,20,2007,https://www.eliteprospects.com/player/14386/paul-carey,Paul Carey ,F,1,0,0
136,Dallas Stars,Ondrej Roman (F),,,,,,,2007,https://www.eliteprospects.com/player/11103/ondrej-roman,Ondrej Roman ,F,1,0,0
137,Los Angeles Kings,Joshua Turnbull (F),,,,,,,2007,https://www.eliteprospects.com/player/17842/joshua-turnbull,Joshua Turnbull ,F,1,0,0
138,New York Rangers,Max Campbell (F),,,,,,,2007,https://www.eliteprospects.com/player/15049/max-campbell,Max Campbell ,F,1,0,0
139,Buffalo Sabres,Brad Eidsness (G),,,,,,,2007,https://www.eliteprospects.com/player/12554/brad-eidsness,Brad Eidsness ,G,0,0,1
140,Minnesota Wild,Cody Almond (F),3,25,2,0,2,26,2007,https://www.eliteprospects.com/player/11683/cody-almond,Cody Almond ,F,1,0,0
141,Pittsburgh Penguins,Jake Muzzin (D),12,683,69,225,294,399,2007,https://www.eliteprospects.com/player/13614/jake-muzzin,Jake Muzzin ,D,0,1,0
142,Montréal Canadiens,Andrew Conboy (F),,,,,,,2007,https://www.eliteprospects.com/player/14390/andrew-conboy,Andrew Conboy ,F,1,0,0
143,Calgary Flames,Mickey Renaud (F),,,,,,,2007,https://www.eliteprospects.com/player/13837/mickey-renaud,Mickey Renaud ,F,1,0,0
144,Nashville Predators,Andreas Thuresson (F),2,25,1,2,3,6,2007,https://www.eliteprospects.com/player/4024/andreas-thuresson,Andreas Thuresson ,F,1,0,0
145,Vancouver Canucks,Charles-Antoine Messier (F),,,,,,,2007,https://www.eliteprospects.com/player/12162/charles-antoine-messier,Charles-Antoine Messier ,F,1,0,0
146,Vancouver Canucks,Ilya Kablukov (F),,,,,,,2007,https://www.eliteprospects.com/player/13965/ilya-kablukov,Ilya Kablukov ,F,1,0,0
147,Buffalo Sabres,Jean-Simon Allard (F),,,,,,,2007,https://www.eliteprospects.com/player/12170/jean-simon-allard,Jean-Simon Allard ,F,1,0,0
148,Detroit Red Wings,Randy Cameron (F),,,,,,,2007,https://www.eliteprospects.com/player/17843/randy-cameron,Randy Cameron ,F,1,0,0
149,Dallas Stars,Michael Neal (F),,,,,,,2007,https://www.eliteprospects.com/player/13667/michael-neal,Michael Neal ,F,1,0,0
150,Tampa Bay Lightning,Matt Marshall (F),,,,,,,2007,https://www.eliteprospects.com/player/18746/matt-marshall,Matt Marshall ,F,1,0,0
151,Anaheim Ducks,Brett Morrison (F),,,,,,,2007,https://www.eliteprospects.com/player/14607/brett-morrison,Brett Morrison ,F,1,0,0
